,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1986,Citations 1987,Citations 1988,Citations 1989,Citations 1990,Citations 1991,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
0,43007,The Geant4-based BABAR simulation,hep;conferencepaper,NA,668426,,,Presented at,"Proceedings. Piscataway, NJ, USA : IEEE, 2004. v.1, p.499-502",NA,NA,,,SLAC-PEP2-BABAR,Computing,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,307964,An alternative method of B tagging for CP violation studies,hep,NA,,,,,,NA,NA,,,SLAC-PEP2-BABAR,,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,310326,PEP-II interaction region and machine induced backgrounds in BaBar,hep;core;conferencepaper,NA,,,,,"In *Maui 1995, Backgrounds at the machine detector interface for B factories* 32-64",NA,NA,,,SLAC-PEP2-BABAR,Instrumentation,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,311509,J/$\psi$ and $\Upsilon$(1S) production,conferencepaper;hep;core;review;citeable,AIP Conf.Proc.,326337,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,,,SLAC-PEP2-BABAR,Phenomenology-HEP,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,312021,Report of the charged particle tracking group,hep;core;conferencepaper,NA,326229,,,Prepared for,,NA,NA,,,SLAC-PEP2-BABAR,Instrumentation,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,315156,An Asymmetric B Factory Based on PEP: Conceptual Design Report,hep;core;report,NA,,,,,,NA,NA,77,,SLAC-PEP2-BABAR,Accelerators,1991,0,0,0,0,0,3,12,6,2,1,2,5,3,5,4,4,5,0,1,1,2,5,1,1,1,2,1,1,2,1,0,1,0,0,0
6,330429,Development of epoxy potting for high voltage insulation at SLAC,hep;core;conferencepaper;citeable,Conf.Proc.,,,,,,,,,,SLAC-PEP2-BABAR,Accelerators,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,334633,"Drift chamber status report: B Factory workshop at SLAC June 10-14, 1991",hep;conferencepaper,NA,,,,Presented at,,NA,NA,,,SLAC-PEP2-BABAR,,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,336424,Backgrounds in the BaBar drift chamber,hep,NA,,,,,,NA,NA,,,SLAC-PEP2-BABAR,,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,346056,A Low mass drift chamber for the B factory,hep;core;conferencepaper,NA,,,,,,NA,NA,,,SLAC-PEP2-BABAR,,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
