,Citing ID,Citing Venue Name,Citing Venue SciMap Name,Citing Venue SciMap ID,Citing Publication Year,Cited ID,Cited Venue Name,Cited Venue SciMap Name,Cited Venue SciMap ID,Cited Publication Year
0,1836652,NA,NA,NA,2020,580295,NA,NA,NA,2001
1,595962,Phys.Rev.,PHYSICAL REVIEW D,14759,2002,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
2,602549,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,2002,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
3,619847,NA,NA,NA,2003,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
4,629816,Phys.Atom.Nucl.,NA,NA,2003,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
5,650664,Mod.Phys.Lett.,NA,NA,2004,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
6,661264,Phys.Lett.,PHYSICS LETTERS B,14781,2004,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
7,661936,JCAP,NA,NA,2004,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
8,668029,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2004,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
9,684490,Phys.Rev.,PHYSICAL REVIEW D,14759,2005,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
10,750503,Astropart.Phys.,ASTROPARTICLE PHYSICS,2098,2007,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
11,781208,Mod.Phys.Lett.,NA,NA,2008,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
12,853649,NA,NA,NA,2010,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
13,1754906,NA,NA,NA,2018,592426,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
14,601887,Proc.SPIE Int.Soc.Opt.Eng.,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
15,602258,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,2002,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
16,602453,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,2002,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
17,602549,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,2002,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
18,611051,Phys.Rev.Lett.,PHYSICAL REVIEW LETTERS,14761,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
19,612980,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
20,613838,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
21,614227,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
22,615730,JCAP,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
23,616588,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
24,616831,Phys.Rev.,PHYSICAL REVIEW D,14759,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
25,617535,Astrophys.J.,ASTROPHYSICAL JOURNAL,2100,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
26,618245,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
27,619847,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
28,620650,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
29,622025,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
30,622623,Phys.Rev.,PHYSICAL REVIEW D,14759,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
31,625850,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
32,631164,Int.J.Mod.Phys.,INTERNATIONAL JOURNAL OF MODERN PHYSICS A,8627,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
33,631604,Eur.Phys.J.,EUROPEAN PHYSICAL JOURNAL C,6020,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
34,632169,Phys.Lett.,PHYSICS LETTERS B,14781,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
35,634148,NA,NA,NA,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
36,634184,New J.Phys.,NEW JOURNAL OF PHYSICS,13701,2003,597012,Nucl.Phys.Proc.Suppl.,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,2002
